,PrecioActual,metros,habitaciones,ascensor,localizacion,plantaN,zona_id,tipo_inmueble_id
502,399000,72,3.0,1,0,4.0,5,5
503,845000,112,5.0,1,1,1.0,7,5
504,118000,63,1.0,1,1,4.0,21,5
505,1300000,121,3.0,1,1,1.0,3,5
506,625000,127,4.0,1,1,6.0,18,5
507,248000,37,1.0,1,0,2.0,5,5
508,1200000,124,3.0,1,1,2.0,3,5
509,330000,107,3.0,1,1,1.0,18,5
510,550000,85,3.0,1,0,1.0,15,5
511,108300,57,2.0,1,1,1.0,11,5
512,1070000,179,4.0,1,1,5.0,7,5
513,1400000,170,2.0,1,1,4.0,5,3
514,3500000,630,6.0,0,1,0.0,12,1
515,3795000,283,4.0,1,1,4.0,3,5
516,180000,86,3.0,0,1,0.0,8,5
517,220000,81,2.0,0,1,1.0,14,5
518,1679000,133,2.0,1,1,4.0,15,5
519,315000,67,2.0,0,1,0.0,5,5
520,1399000,186,4.0,1,1,4.0,9,6
521,960000,203,7.0,0,1,1.0,5,5
522,560000,96,1.0,1,1,0.0,6,3
523,1036500,104,3.0,1,1,4.0,9,6
524,409000,66,2.0,0,1,5.0,5,6
525,1550000,148,3.0,1,0,1.0,3,5
526,370000,40,1.0,0,1,2.0,5,5
527,249000,74,3.0,0,1,3.0,8,5
528,1650000,600,7.0,0,1,0.0,9,2
529,720000,90,2.0,1,1,5.0,6,5
530,915000,115,3.0,1,0,5.0,15,5
531,2250000,173,2.0,1,1,5.0,5,3
532,250000,54,2.0,0,1,3.0,13,5
533,179900,54,2.0,0,1,3.0,14,5
534,675000,130,3.0,1,1,3.0,1,5
535,675000,105,4.0,1,1,3.0,6,5
536,3600000,240,4.0,1,1,1.0,7,5
537,379000,57,1.0,0,0,0.0,7,5
538,750000,113,2.0,1,1,6.0,3,5
539,198000,67,2.0,0,0,0.0,11,5
540,370000,80,2.0,1,1,3.0,13,5
541,260000,36,1.0,1,0,2.0,5,5
542,171990,110,2.0,0,1,-1.0,17,5
543,2475000,300,3.0,0,1,0.0,6,1
544,1150000,158,4.0,1,1,3.0,15,5
545,205000,65,2.0,0,1,0.5,14,5
546,79900,56,3.0,0,1,1.0,14,5
547,1850000,250,4.0,0,1,0.0,6,2
548,563000,129,3.0,1,1,1.0,20,5
549,375000,40,1.0,0,0,4.0,7,5
550,399000,104,4.0,1,1,7.0,11,5
551,375000,55,2.0,1,0,3.0,5,5
552,298000,35,1.0,1,0,1.0,3,5
553,395000,99,4.0,1,1,8.0,4,5
554,1489000,137,3.0,1,1,3.0,3,5
555,75000,73,3.0,0,1,-1.0,4,5
556,850000,133,3.0,1,1,5.0,3,5
557,229000,64,2.0,0,1,2.0,13,5
558,3300000,137,2.0,1,1,9.0,5,6
559,3800000,232,3.0,1,1,4.0,15,5
560,3480000,176,2.0,1,1,5.0,3,5
561,1099900,130,2.0,1,1,9.0,6,5
562,119500,72,2.0,0,0,2.0,4,5
563,560000,80,3.0,0,1,2.0,5,5
564,181000,48,2.0,0,0,1.0,8,5
565,289000,70,2.0,1,1,2.0,11,5
566,1600000,198,3.0,1,1,2.0,17,5
567,650000,94,2.0,1,1,6.0,6,6
568,2100000,330,4.0,0,1,0.0,12,2
569,299000,116,4.0,1,1,1.0,21,5
570,255000,74,2.0,1,1,0.0,21,5
571,1550000,135,2.0,1,1,4.0,5,5
572,384000,75,2.0,1,0,1.0,15,5
573,370000,85,3.0,1,1,1.0,5,5
574,850000,140,3.0,0,1,0.0,8,2
575,222500,86,2.0,0,1,4.0,4,5
576,61100,40,1.0,1,1,1.0,14,5
577,310000,45,1.0,1,1,4.0,17,5
578,244000,62,3.0,1,1,0.0,17,5
579,414000,122,3.0,1,1,1.0,11,5
580,620000,90,2.0,1,1,1.0,5,5
581,350000,55,1.0,1,0,1.0,5,5
582,395000,67,1.0,1,1,4.0,12,5
583,880000,130,3.0,1,1,4.0,12,6
584,1750000,431,5.0,0,1,0.0,12,2
585,2100000,142,3.0,1,1,5.0,3,6
587,215000,67,1.0,1,1,3.0,4,5
588,1328000,147,2.0,1,1,5.0,7,5
589,250000,56,1.0,1,1,2.0,2,5
590,155000,19,1.0,0,0,1.0,5,5
591,245000,74,3.0,0,1,2.0,16,5
592,160000,50,2.0,0,1,0.0,21,5
593,339000,130,3.0,0,1,0.0,4,3
594,1635000,104,2.0,1,1,5.0,7,5
595,750000,115,2.0,1,0,6.0,17,5
596,380000,164,4.0,1,1,2.0,18,5
597,1950000,190,4.0,1,1,2.0,3,5
598,850000,171,3.0,1,1,7.0,9,6
599,1450000,379,5.0,0,1,0.0,16,2
600,141000,46,1.0,0,1,1.0,18,5
601,1700000,135,2.0,1,1,5.0,5,6
602,250000,52,1.0,1,1,1.0,16,5
603,1489950,137,3.0,1,1,3.0,3,5
604,750000,85,2.0,1,0,2.0,3,5
605,725000,198,4.0,1,1,3.0,16,6
606,1460000,97,2.0,1,1,5.0,3,5
607,407000,70,2.0,1,1,2.0,3,5
608,1399000,186,4.0,1,1,6.0,9,6
609,1245000,118,3.0,1,1,2.0,3,5
610,1400000,286,5.0,1,1,1.0,6,5
611,249900,81,3.0,1,1,0.5,11,5
612,273700,93,3.0,1,1,1.0,21,5
613,124000,91,3.0,1,1,1.0,21,5
614,225000,46,1.0,1,1,4.0,16,5
615,135000,48,2.0,0,1,0.0,20,5
616,285000,141,4.0,0,1,1.0,21,5
617,432000,65,2.0,1,1,2.0,17,6
618,1850000,258,4.0,0,1,0.0,10,1
